City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
252,Cabo San Lucas,MX,2022-11-21 19:13:15,22.8909,-109.9124,82.62,62,20,4.61
253,Bonavista,CA,2022-11-21 19:13:15,48.6499,-53.1147,32.59,88,100,47.45
254,Nevelsk,RU,2022-11-21 19:13:16,46.6733,141.8633,32.86,92,100,14.76
255,Port Elizabeth,ZA,2022-11-21 19:13:16,-33.918,25.5701,68.09,76,99,13.09
256,Bilibino,RU,2022-11-21 19:13:17,68.0546,166.4372,-28.16,99,96,4.07
257,Sola,VU,2022-11-21 19:13:17,-13.8833,167.55,81.82,75,21,9.8
258,Plettenberg Bay,ZA,2022-11-21 19:13:17,-34.0527,23.3716,62.64,81,100,3.2
259,Kalmunai,LK,2022-11-21 19:13:18,7.4167,81.8167,77.47,78,39,3.8
260,Brownsville,US,2022-11-21 19:13:11,25.9018,-97.4975,48.97,96,100,16.11
261,Hohhot,CN,2022-11-21 19:13:18,40.8106,111.6522,32.25,49,100,1.36
262,Iqaluit,CA,2022-11-21 19:13:19,63.7506,-68.5145,3.31,95,93,1.9
263,Tasiilaq,GL,2022-11-21 19:13:19,65.6145,-37.6368,39.36,90,100,14.18
264,Totolapa,MX,2022-11-21 19:13:19,18.5167,-96.1833,79.16,66,60,4.29
265,Tirukkoyilur,IN,2022-11-21 19:13:20,11.95,79.2,73.83,78,100,4.85
266,Parnu-Jaagupi,EE,2022-11-21 19:13:20,58.6105,24.5069,23.72,95,98,7.29
267,Lewistown,US,2022-11-21 19:13:20,40.5992,-77.5714,46.18,62,0,6.91
268,Ouango,CF,2022-11-21 19:13:21,4.3133,22.5552,73.29,57,78,0.65
269,Salinas,US,2022-11-21 19:13:21,36.6777,-121.6555,67.82,32,0,17.27
270,Den Helder,NL,2022-11-21 19:13:21,52.9599,4.7593,43.02,94,75,15.01
271,Riyadh,SA,2022-11-21 19:13:22,24.6877,46.7219,62.74,28,0,5.77
272,Fethiye,TR,2022-11-21 19:14:22,36.6217,29.1164,69.67,75,74,5.08
273,Luau,AO,2022-11-21 19:14:22,-10.7073,22.2247,64.62,97,100,7.05
274,Tirumullaivasal,IN,2022-11-21 19:14:23,11.2333,79.8333,73.56,83,11,9.44
275,Mezen,RU,2022-11-21 19:14:23,65.8522,44.24,31.19,94,100,3.62
276,San Jose,US,2022-11-21 19:12:38,37.3394,-121.895,64.9,44,75,1.99
277,Seeboden,AT,2022-11-21 19:14:24,46.8219,13.495,40.77,96,70,2.64
278,Beira,MZ,2022-11-21 19:14:24,-19.8436,34.8389,73.49,78,20,4.61
279,Kabalo,CD,2022-11-21 19:14:24,-6.05,26.9167,67.71,97,100,3.49
280,Casablanca,MA,2022-11-21 19:13:37,33.5928,-7.6192,66.33,68,100,1.99
281,Talaya,RU,2022-11-21 19:14:25,61.3833,152.75,0.55,98,100,6.13
282,Sur,OM,2022-11-21 19:14:25,22.5667,59.5289,76.48,66,0,3.04
